Country,Role,Name,Game_edition,City,Season,Game_name,Start,End
France,President,Emmanuel Macron,33,Paris,Summer,Paris 2024,2024-07-26,2024-08-11
France,President,Alexandre Millerand,1,Chamonix,Winter,Chamonix 1924,1924-01-25,1924-02-05
Switzerland,President,Edmund Schulthess,2,St. Moritz,Winter,St. Moritz 1928,1928-02-11,1928-02-19
United States,President,Herbert Hoover,3,Lake Placid,Winter,Lake Placid 1932,1932-02-04,1932-02-15
Germany,Chancellor,Adolf Hitler,4,Garmisch-Partenkirchen,Winter,Garmisch-Partenkirchen 1936,1936-02-06,1936-02-16
Switzerland,President,Enrico Celio,5,St. Moritz,Winter,St. Moritz 1948,1948-01-30,1948-02-08
Norway,Monarch,Haakon VII,6,Oslo,Winter,Oslo 1952,1952-02-14,1952-02-25
Italy,President,Giovanni Gronchi,7,Cortina d'Ampezzo,Winter,Cortina d'Ampezzo 1956,1956-01-26,1956-02-05
United States,President,Dwight D. Eisenhower,8,Squaw Valley,Winter,Squaw Valley 1960,1960-02-18,1960-02-28
Austria,President,Adolf Schärf,9,Innsbruck,Winter,Innsbruck 1964,1964-01-29,1964-02-09
France,President,Charles de Gaulle,10,Grenoble,Winter,Grenoble 1968,1968-02-06,1968-02-18
Japan,Emperor,Shōwa,11,Sapporo,Winter,Sapporo 1972,1972-02-02,1972-02-13
Austria,President,Rudolf Kirchschläger,12,Innsbruck,Winter,Innsbruck 1976,1976-02-04,1976-02-15
United States,President,Jimmy Carter,13,Lake Placid,Winter,Lake Placid 1980,1980-02-13,1980-02-24
Yugoslavia,President,Mika Špiljak,14,Sarajevo,Winter,Sarajevo 1984,1984-02-08,1984-02-19
Canada,monarch,Elizabeth II,15,Calgary,Winter,Calgary 1988,1988-02-13,1988-02-28
France,President,François Mitterrand,16,Albertville,Winter,Albertville 1992,1992-02-08,1992-02-23
Norway,Prime Minister,Gro Harlem Brundtland,17,Lillehammer,Winter,Lillehammer 1994,1994-02-12,1994-02-27
Japan,Emperor,Akihito,18,Nagano,Winter,Nagano 1998,1998-02-06,1998-02-22
United States,President,George W. Bush,19,Salt Lake City,Winter,Salt Lake City 2002,2002-02-08,2002-02-24
Italy,President,Carlo Azeglio Ciampi,20,Turin,Winter,Turin 2006,2006-02-10,2006-02-26
Italy,Prime Minister,Silvio Berlusconi,20,Turin,Winter,Turin 2006,2006-02-10,2006-02-26
Canada,monarch,Elizabeth II,21,Vancouver,Winter,Vancouver 2010,2010-02-12,2010-02-28
Canada,Prime Minister,Stephen Harper,21,Vancouver,Winter,Vancouver 2010,2010-02-12,2010-02-28
Russia,President,Vladimir Putin,22,Sochi,Winter,Sochi 2014,2014-02-07,2014-02-23
Republic of Korea,President,Moon Jae-in,23,PyeongChang,Winter,PyeongChang 2018,2018-02-08,2018-02-25
China,Premier,Li Keqiang,24,Beijing,Winter,Beijing 2022,2022-02-04,2022-02-20
China,President,Xi Jinping,24,Beijing,Winter,Beijing 2022,2022-02-04,2022-02-20
