Jurisdiction,Type,Instrument_name,Status,Start,End
,carbon crediting mechanism,RGGI CO2 Offset Mechanism,yes,2005,
Sakhalin,carbon crediting mechanism,Sakhalin Oblast Pilot crediting mechanism,yes,2022,
South Africa,carbon crediting mechanism,South Africa Crediting Mechanism,yes,2019,
Spain,carbon crediting mechanism,Spain FES-CO2 Program,yes,2011,
Sri Lanka,carbon crediting mechanism,Sri Lanka Carbon Crediting Mechanism,yes,2016,
Switzerland,carbon crediting mechanism,Switzerland CO2 Attestations Crediting Mechanism,yes,2012,
Taiwan,carbon crediting mechanism,Taiwan Voluntary GHG Reduction Program,yes,2015,
Thailand,carbon crediting mechanism,Thailand Voluntary Emission Reduction Program,yes,2014,
Tokyo,carbon crediting mechanism,Tokyo Cap-and-Trade Program,yes,2010,
Washington,carbon crediting mechanism,Washington Crediting Mechanism,yes,2023,
