Title,Director,Cast,Country,Release_year,Start,End
The Guilty,Antoine Fuqua,"Jake Gyllenhaal, Ethan Hawke, Riley Keough, Peter Sarsgaard, Christina Vidal",United States of America,2021,2021-09-24,
The Equalizer 2,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean, Bill Pullman",United States of America,2018,2018-07-19,
The Magnificent Seven,Antoine Fuqua,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio, Lee Byung-hun",United States of America,2016,2016-09-14,
Southpaw,Antoine Fuqua,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker, Oona Laurence, 50 Cent",United States of America,2015,2015-03-24,
The Equalizer,Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour, Haley Bennett",United States of America,2014,2014-09-24,
Olympus Has Fallen,Antoine Fuqua,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott, Rick Yune",United States of America,2013,2013-03-20,
Brooklyn's Finest,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Vincent D'Onofrio",United States of America,2010,2010-03-04,
Seven Veils,Atom Egoyan,"Amanda Seyfried, Rebecca Liddiard, Douglas Smith, Mark O'Brien, Vinessa Antoine","Canada, United States of America, Finland",2025,2025-03-07,
Remember,Atom Egoyan,"Christopher Plummer, Bruno Ganz, Jürgen Prochnow, Heinz Lieven, Henry Czerny","Canada, Germany, Mexico, South Africa",2015,2015-10-23,
The Captive,Atom Egoyan,"Ryan Reynolds, Scott Speedman, Rosario Dawson, Mireille Enos, Kevin Durand",Canada,2014,2014-09-05,
Devil's Knot,Atom Egoyan,"Reese Witherspoon, Colin Firth, Alessandro Nivola, James Hamrick, Seth Meriwether",United States of America,2013,2013-05-09,
Chloe,Atom Egoyan,"Amanda Seyfried, Julianne Moore, Liam Neeson, Max Thieriot, R.H. Thomson","Canada, United States of America, France",2010,2010-02-25,
The Alto Knights,Barry Levinson,"Robert De Niro, Debra Messing, Cosmo Jarvis, Kathrine Narducci, Michael Rispoli",United States of America,2025,2025-03-14,
The Survivor,Barry Levinson,"Ben Foster, Billy Magnussen, Vicky Krieps, Peter Sarsgaard, Saro Emirze","Canada, United States of America",2022,2022-04-07,
Paterno,Barry Levinson,"Al Pacino, Kathy Baker, Kenneth Maharaj, Michael Mastro, Joshua Morgan",United States of America,2018,2018-04-07,
The Wizard of Lies,Barry Levinson,"Robert De Niro, Michelle Pfeiffer, Hank Azaria, Kristen Connolly, Lily Rabe",United States of America,2017,2017-05-11,
Rock the Kasbah,Barry Levinson,"Bill Murray, Zooey Deschanel, Bruce Willis, Kate Hudson, Taylor Kinney","Morocco, United States of America",2015,2015-10-22,
The Humbling,Barry Levinson,"Al Pacino, Greta Gerwig, Dylan Baker, Charles Grodin, Nina Arianda","Italy, United States of America",2014,2014-12-31,
The Bay,Barry Levinson,"Kristen Connolly, Will Rogers, Michael Beasley, Christopher Denham, Kenny Alfonso",United States of America,2012,2012-09-13,
You Don't Know Jack,Barry Levinson,"Al Pacino, Danny Huston, Susan Sarandon, John Goodman, Brenda Vaccaro",United States of America,2010,2010-06-27,
Halimuyak,Bobby Bonifacio,"Christy Imperial, Skye Gonzaga, Chester Grecia, Carlo Lacana, Gaye Angeles",Philippines,2025,2025-01-17,
Salitan,Bobby Bonifacio,"Angelica Hart, Nico Locco, Matthew Francisco, Vern Kaye, Mercedes Cabral",Philippines,2024,2024-02-16,
Kiskisan,Bobby Bonifacio,"Apple Dy, Skye Gonzaga, Juan Calma, Robb Guinto, Tabs Sumulong",Philippines,2024,2024-09-26,
Backrider,Bobby Bonifacio,"Jenn Rosa, Aerol Carmelo, Chad Alviar, Jonica Lazo, Ivan Ponce",Philippines,2024,2024-08-13,
Ungol,Bobby Bonifacio,"Stephanie Raz, Ghion Layug, Audrey Avila, Richard Solano, Hurry Up Tingson",Philippines,2024,2024-11-08,
Uhaw,Bobby Bonifacio,"Ataska Mercado, Itan Magnaye, Angeli Khang, Mark Dionisio, CJ Barinaga",Philippines,2024,2024-08-30,
Flirtatious,Bobby Bonifacio,"Maui Taylor, Aerol Carmelo, Matthew Francisco, Aiko Garcia, Jackie Lyn Barcebal",Philippines,2023,2023-10-20,
Daaku Maharaaj,Bobby Kolli,"Nandamuri Balakrishna, Bobby Deol, Pragya Jaiswal, Shraddha Srinath, Vedha Agarwal",India,2025,2025-01-12,
Mickey 17,Bong Joon Ho,"Robert Pattinson, Naomi Ackie, Mark Ruffalo, Toni Collette, Anamaria Vartolomei","United Kingdom, United States of America",2025,2025-02-28,
Parasite,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam",South Korea,2019,2019-05-30,
Okja,Bong Joon Ho,"Ahn Seo-hyun, Tilda Swinton, Paul Dano, Steven Yeun, Jake Gyllenhaal","South Korea, United States of America",2017,2017-06-28,
Snowpiercer,Bong Joon Ho,"Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton",South Korea,2013,2013-08-01,
Tin Soldier,Brad Furman,"Jamie Foxx, Scott Eastwood, Robert De Niro, Rita Ora, John Leguizamo",United States of America,2025,2025-05-22,
City of Lies,Brad Furman,"Johnny Depp, Forest Whitaker, Toby Huss, Dayton Callie, Neil Brown Jr.",United States of America,2018,2018-09-06,
The Infiltrator,Brad Furman,"Bryan Cranston, Diane Kruger, John Leguizamo, Daniel Mays, Benjamin Bratt","United Kingdom, United States of America",2016,2016-07-13,
Runner Runner,Brad Furman,"Justin Timberlake, Ben Affleck, Gemma Arterton, Anthony Mackie, Michael Esper",United States of America,2013,2013-09-24,
The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Ryan Phillippe, William H. Macy, Marisa Tomei, Josh Lucas",United States of America,2011,2011-03-17,
The Golden Voice,Brandon Eric Kamin,"Nick Nolte, Dharon Jones, Sydney Mae Diaz, Carmen Ruby Floyd, Lenny Steinline",United States of America,2025,2025-02-28,
Who Is Luigi Mangione?,"Brian Ross, Rhonda Schwartz","Luigi Mangione, Brian Thompson, Dan Abrams, Philip Klein, Kelly Wirtz",United States of America,2025,2025-02-17,
Algo Azul,Camilo Abadía,"Tessa Ía, Ricardo Abarca, Ana María Estupiñán, Isabel Burr, Gerardo Oñate",Colombia,2025,2025-02-07,
"¡Qué Huevos, Sofía!",Carlos Santos,"Giovanna Romo, Sergio Mayer, Liliana Arriaga, Yanet Garcia, Priscila Arias",Mexico,2025,2025-02-27,
L'apprendissage,Celeste Zanzi,"Eleonora Romanato, Christian Vaccari",Italy,2025,2025-03-03,
El hilo rojo,Celso R. García,"Michel Brown, Mario Morán, Carolina Miranda, Maya Zapata, Pilar Santacruz",,2025,2025-02-13,
The Great Seduction,Celso R. García,"Memo Villegas, Pierre Louis, Yalitza Aparicio, Eligio Meléndez, Julio Casado",Mexico,2023,2023-08-30,
The Thin Yellow Line,Celso R. García,"Damián Alcázar, Joaquín Cosío, Silverio Palacios, Gustavo Sánchez Parra, Américo Hollander",Mexico,2015,2015-03-06,
Counterattack,Chava Cartas,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava",Mexico,2025,2025-02-27,
MexZombies,Chava Cartas,"Iñaki Godoy, Marcelo Barcelo, Vincent Michael Webb, Alejandro Puente, Sara Maldonado",Mexico,2022,2022-10-26,
Mirreyes contra Godínez 2: El retiro,Chava Cartas,"Regina Blandón, Daniel Tovar, Diana Bovio, Christian Vazquez, Alejandro de Marino",Mexico,2022,2022-07-21,
Detective Chinatown 1900,"Chen Sicheng, Dai Mo","Wang Baoqiang, Liu Haoran, Chow Yun-Fat, White-K, Zhang Xincheng","China, Hong Kong",2025,2025-01-29,
Bad Influence,Chloé Wallace,"Alberto Olmo, Eléa Rochera, Enrique Arce, Mirela Balić, Farid Bechara","Spain, United States of America",2025,2025-01-24,
Hitman 2,Choi Won-sub,"Kwon Sang-woo, Jeong Jun-ho, Lee Yi-kyung, Hwang Woo-seul-hye, Lee Ji-won",South Korea,2025,2025-01-22,
Hitman: Agent Jun,Choi Won-sub,"Kwon Sang-woo, Jeong Jun-ho, Hwang Woo-seul-hye, Lee Yi-kyung, Lee Ji-won",South Korea,2020,2020-01-22,
Smurfs,Chris Miller,"Rihanna, James Corden, Nick Offerman, JP Karliak, Dan Levy",United States of America,2025,2025-07-10,
Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek Pinault, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris",United States of America,2011,2011-10-27,
Don't Die: The Man Who Wants to Live Forever,Chris Smith,"Bryan Johnson, Mac Davis",United States of America,2025,2025-01-01,
WHAM!,Chris Smith,"Andrew Ridgeley, George Michael, Elton John, David Bowie, Mick Jagger","United Kingdom, United States of America",2023,2023-06-27,
"""Sr.""",Chris Smith,"Robert Downey Sr., Robert Downey Jr., Chris Smith, Alan Arkin, Sean Hayes",United States of America,2022,2022-09-02,
Operation Varsity Blues: The College Admissions Scandal,Chris Smith,"Matthew Modine, Roger Rignack, Jillian Peterson, Courtney Rackley, Wallace Langham",United States of America,2021,2021-03-17,
Fyre,Chris Smith,"Billy McFarland, Ja Rule, Jason Bell, Gabrielle Bluestone, Shiyuan Deng",United States of America,2019,2019-01-18,
Jim & Andy: The Great Beyond,Chris Smith,"Jim Carrey, Danny DeVito, Miloš Forman, Judd Hirsch, Peter Bonerz","Canada, United States of America",2017,2017-09-05,
Den of Thieves 2: Pantera,Christian Gudegast,"Gerard Butler, O'Shea Jackson Jr., Evin Ahmad, Salvatore Esposito, Meadow Williams","Canada, United States of America",2025,2025-01-08,
Den of Thieves,Christian Gudegast,"Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., Meadow Williams, Maurice Compte",United States of America,2018,2018-01-18,
Into the Deep,Christian Sesma,"Scout Taylor-Compton, Richard Dreyfuss, Stuart Townsend, Jon Seda, AnnaMaria Demara",United States of America,2025,2025-01-23,
Lights Out,Christian Sesma,"Frank Grillo, Mekhi Phifer, Jaime King, Dermot Mulroney, Scott Adkins",United States of America,2024,2024-02-16,
Section 8,Christian Sesma,"Ryan Kwanten, Dolph Lundgren, Dermot Mulroney, Scott Adkins, Mickey Rourke",United States of America,2022,2022-09-23,
Paydirt,Christian Sesma,"Luke Goss, Val Kilmer, Mike Hatton, Paul Sloan, Nick Vallelonga",United States of America,2020,2020-08-07,
Vigilante Diaries,Christian Sesma,"Paul Sloan, Jessica Uberuaga, Michael Jai White, Quinton 'Rampage' Jackson, Michael Madsen",United States of America,2016,2016-09-01,
The Night Crew,Christian Sesma,"Jason Mewes, Danny Trejo, Chasty Ballesteros, Luke Goss, Bokeem Woodbine",United States of America,2015,2015-03-17,
Drop,Christopher Landon,"Meghann Fahy, Brandon Sklenar, Violett Beane, Jacob Robinson, Reed Diamond",United States of America,2025,2025-04-10,
We Have a Ghost,Christopher Landon,"David Harbour, Jahi Di'Allo Winston, Anthony Mackie, Erica Ash, Niles Fitch",United States of America,2023,2023-02-24,
Freaky,Christopher Landon,"Vince Vaughn, Kathryn Newton, Celeste O'Connor, Misha Osherovich, Uriah Shelton",United States of America,2020,2020-11-12,
Happy Death Day 2U,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Suraj Sharma, Rachel Matthews",United States of America,2019,2019-02-13,
Happy Death Day,Christopher Landon,"Jessica Rothe, Israel Broussard, Ruby Modine, Rachel Matthews, Billy Slaughter",United States of America,2017,2017-10-12,
Scouts Guide to the Zombie Apocalypse,Christopher Landon,"Tye Sheridan, Sarah Dumont, Logan Miller, Joey Morgan, David Koechner",United States of America,2015,2015-10-23,
Paranormal Activity: The Marked Ones,Christopher Landon,"Andrew Jacobs, Jorge Diaz, Gabrielle Walsh, Renee Victor, Carlos Pratts",United States of America,2014,2014-01-01,
Burning Palms,Christopher Landon,"Zoe Saldaña, Jamie Chung, Rosamund Pike, Lake Bell, Nick Stahl",United States of America,2010,2010-04-23,
Mission: Impossible - The Final Reckoning,Christopher McQuarrie,"Tom Cruise, Ving Rhames, Simon Pegg, Hayley Atwell, Vanessa Kirby",United States of America,2025,2025-05-21,
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,"Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg, Rebecca Ferguson",United States of America,2023,2023-07-08,
Mission: Impossible - Fallout,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg, Rebecca Ferguson",United States of America,2018,2018-07-13,
Mission: Impossible - Rogue Nation,Christopher McQuarrie,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames",United States of America,2015,2015-07-23,
Jack Reacher,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo, Werner Herzog",United States of America,2012,2012-12-20,
The Royal We,Clare Niederpruem,"Mallory Jansen, Charlie Carrick, Rae Lim, Michael Howe",,2025,2025-03-01,
Her Pen Pal,Clare Niederpruem,"Mallory Jansen, Joshua Sasse, Lachlan Nieboer, Amanda Blake, Jayne Wisener",United States of America,2021,2021-06-19,
F*ckin' Fred : Comme un Léopard,Clément Cotentin,"Jonathan Cohen, Orelsan, Ablaye, Skread, Clément Cotentin",France,2025,2025-02-27,
Reality+,Coralie Fargeat,"Vincent Colombe, Aurélien Muller, Vanessa Hessler, Aurélia Poirier, Samuel Trépanier",France,2025,2025-01-01,
The Substance,Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams","France, United Kingdom, United States of America",2024,2024-09-07,
Revenge,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe, Guillaume Bouchède, Jean-Louis Tribes","Belgium, France",2018,2018-02-07,
Undercover Party Crasher,Cris D'amato,"Giovanna Lancellotti, Ademara Barros, Sophia Valverde, Raphael Vicente, Letícia Pedro","Brazil, United States of America",2025,2025-01-17,
Someone Borrowed,Cris D'amato,"Caio Castro, Thati Lopes, Mariana Xavier, Patrícya Travassos, Danielle Winits",Brazil,2022,2022-10-11,
Double Dad,Cris D'amato,"Maisa Silva, Eduardo Moscovis, Marcelo Médici, Fafá de Belém, Thaynara OG",Brazil,2021,2021-01-15,
Cold Wallet,Cutter Hodierne,"Tony Cavalero, Josh Brener, Raúl Castillo, Melonie Diaz, Ian Unterman",United States of America,2025,2025-02-28,
Magic Candies,Daisuke Nishio,"Haruto Shima, Hiroshi Iwasaki, Kazuhiro Yamaji, Ikkei Watanabe, Sakiko Uran",Japan,2025,2025-02-28,
The Chosen: Last Supper,Dallas Jenkins,"Jonathan Roumie, Elizabeth Tabish, Shahar Isaac, Paras Patel, Noah James",United States of America,2025,2025-03-27,
The Best Christmas Pageant Ever,Dallas Jenkins,"Judy Greer, Pete Holmes, Molly Belle Wright, Lauren Graham, Sebastian Billingsley-Rodriguez",United States of America,2024,2024-11-07,
What if...,Dallas Jenkins,"Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan, Kristin Minter",United States of America,2010,2010-08-20,
Brave the Dark,Damian Harris,"Jared Harris, Nicholas Hamilton, Jamie Harris, Sasha Bhasin, Will Price",United States of America,2025,2025-01-23,
Bambi: The Reckoning,Dan Allen,"Roxanne McKee, Tom Mulheron, Nicola Wright, Russell Geoffrey Banks, Joseph Greenwood",United Kingdom,2025,2025-03-17,
Novocaine,"Dan Berk, Robert Olsen","Jack Quaid, Amber Midthunder, Ray Nicholson, Jacob Batalon, Betty Gabriel",United States of America,2025,2025-03-12,
The Stakelander,"Dan Berk, Robert Olsen","Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson, Steven Williams","Canada, United States of America",2016,2016-10-14,
Predator: Badlands,Dan Trachtenberg,Elle Fanning,United States of America,2025,2025-11-05,
Prey,Dan Trachtenberg,"Amber Midthunder, Dakota Beavers, Michelle Thrush, Stormee Kipp, Julian Black Antelope",United States of America,2022,2022-08-02,
10 Cloverfield Lane,Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin, Suzanne Cryer",United States of America,2016,2016-03-10,
My Fault: London,"Dani Girdwood, Charlotte Fassler","Asha Banks, Matthew Broome, Eve Macklin, Ray Fearon, Enva Lewis","Spain, United Kingdom, United States of America",2025,2025-02-12,
Mikaela,Daniel Calparsoro,"Antonio Resines, Natalia Azahara, Roger Casamajor, Adriana Torrebejano, Pavel Anton",Spain,2025,2025-01-31,
The Courier,Daniel Calparsoro,"Arón Piper, María Pedraza, Luis Tosar, Laura Sépul, Nourdin Batán","Belgium, France, Spain",2024,2024-01-19,
All the Names of God,Daniel Calparsoro,"Luis Tosar, Inma Cuesta, Roberto Enríquez, Fernando Cayo, Nourdin Batán",Spain,2023,2023-09-15,
Centauro,Daniel Calparsoro,"Àlex Monner, Begoña Vargas, Abraham Pérez Fernández, Édgar Vittorino, Carlos Bardem",Spain,2022,2022-06-15,
Sky High,Daniel Calparsoro,"Miguel Herrán, Carolina Yuste, Asia Ortega, Luis Tosar, Fernando Cayo","Belgium, France, Spain",2020,2020-12-18,
Twin Murders: The Silence of the White City,Daniel Calparsoro,"Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Àlex Brendemühl",Spain,2019,2019-10-25,
The Warning,Daniel Calparsoro,"Raúl Arévalo, Aura Garrido, Hugo Arbues, Belén Cuesta, Antonio Dechent",Spain,2018,2018-03-10,
To Steal from a Thief,Daniel Calparsoro,"Luis Tosar, Rodrigo de la Serna, Raúl Arévalo, Jose Coronado, Patricia Vico","Argentina, France, Spain",2016,2016-03-03,
Sniper: The Last Stand,Danishka Esterhazy,"Chad Michael Collins, Ryan Robbins, Sharon Taylor, Manuel Rodriguez-Saenz, Vusi Kunene","United States of America, Canada",2025,2025-01-21,
Killer Body Count,Danishka Esterhazy,"Savana Tardieu, Khosi Ngema, N’kone Mametja, Alex McGregor, Bjorn Steinbach",,2024,2024-05-17,
Slumber Party Massacre,Danishka Esterhazy,"Hannah Gonera, Frances Sholto-Douglas, Mila Rayne, Alex McGregor, Reze-Tiana Wessels","South Africa, United States of America",2021,2021-09-27,
The Banana Splits Movie,Danishka Esterhazy,"Finlay Wojtak-Hissong, Maria Nash, Dani Kind, Eric Bauza, Terry Sauls",United States of America,2019,2019-09-04,
Level 16,Danishka Esterhazy,"Katie Douglas, Celina Martin, Peter Outerbridge, Sara Canning, Alexis Whelan",Canada,2018,2018-02-20,
28 Years Later,Danny Boyle,"Jodie Comer, Aaron Taylor-Johnson, Jack O'Connell, Alfie Williams, Ralph Fiennes","United Kingdom, United States of America",2025,2025-06-16,
Yesterday,Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell, Meera Syal","United Kingdom, United States of America",2019,2019-06-26,
T2 Trainspotting,Danny Boyle,"Ewan McGregor, Jonny Lee Miller, Ewen Bremner, Robert Carlyle, Anjela Nedyalkova","United Kingdom, United States of America",2017,2017-01-27,
Steve Jobs,Danny Boyle,"Michael Fassbender, Kate Winslet, Seth Rogen, Jeff Daniels, Michael Stuhlbarg","United Kingdom, United States of America",2015,2015-10-09,
Trance,Danny Boyle,"James McAvoy, Vincent Cassel, Rosario Dawson, Danny Sapani, Matt Cross","France, United Kingdom, United States of America",2013,2013-03-27,
London 2012 Olympic Opening Ceremony: Isles of Wonder,Danny Boyle,"Elizabeth II of the United Kingdom, Mike Oldfield, Kenneth Branagh, J.K. Rowling, Paul McCartney",United Kingdom,2012,2012-07-27,
127 Hours,Danny Boyle,"James Franco, Kate Mara, Amber Tamblyn, Clémence Poésy, Lizzy Caplan","France, United Kingdom, United States of America",2010,2010-11-12,
Operation Hadal,Dante Lam Chiu-Yin,"Huang Xuan, Yu Shi, Du Jiang, Jiang Luxia, Wang Yanlin",China,2025,2025-01-26,
The Rescue,Dante Lam Chiu-Yin,"Eddie Peng Yu-Yan, Wang Yanlin, Xin Zhilei, Lyric Lan, Yutian Wang",China,2020,2020-12-18,
Operation Red Sea,Dante Lam Chiu-Yin,"Zhang Yi, Johnny Huang, Hai Qing, Du Jiang, Zhang Hanyu","China, Hong Kong, Morocco",2018,2018-02-16,
Operation Mekong,Dante Lam Chiu-Yin,"Zhang Hanyu, Eddie Peng Yu-Yan, Joyce Feng, Wu Xudong, Zhan Liguo","Hong Kong, China",2016,2016-09-30,
Unbeatable,Dante Lam Chiu-Yin,"Nick Cheung Ka-Fai, Eddie Peng Yu-Yan, Mei Ting, Andy On Chi-Kit, Wang Baoqiang","Hong Kong, China",2013,2013-08-15,
The Viral Factor,Dante Lam Chiu-Yin,"Jay Chou, Nicholas Tse Ting-Fung, Lin Peng, Michelle Bai, Andy On Chi-Kit","Hong Kong, China",2012,2012-01-19,
Fire of Conscience,Dante Lam Chiu-Yin,"Leon Lai Ming, Richie Jen, Vivian Hsu, Wang Baoqiang, Michelle Ye Xuan",Hong Kong,2010,2010-04-01,
The Stool Pigeon,Dante Lam Chiu-Yin,"Nicholas Tse Ting-Fung, Nick Cheung Ka-Fai, Gwei Lun-Mei, Miao Pu, Liu Kai-Chi",Hong Kong,2010,2010-08-26,
Plankton: The Movie,Dave Needham,"Mr. Lawrence, Jill Talley, Tom Kenny, Bill Fagerbakke, Rodger Bumpass",United States of America,2025,2025-03-08,
The Loud House Movie,Dave Needham,"Asher Bishop, David Tennant, Michelle Gomez, Jill Talley, Brian Stepanek",United States of America,2021,2021-08-20,
A Working Man,David Ayer,"Jason Statham, David Harbour, Michael Peña, Jason Flemyng, Arianna Rivas","United Kingdom, United States of America",2025,2025-03-26,
The Beekeeper,David Ayer,"Jason Statham, Emmy Raver-Lampman, Josh Hutcherson, Bobby Naderi, Minnie Driver","United Kingdom, United States of America",2024,2024-01-08,
The Tax Collector,David Ayer,"Bobby Soto, Cinthya Carmona, George Lopez, Elpidia Carrillo, Shia LaBeouf",United States of America,2020,2020-08-07,
Bright,David Ayer,"Will Smith, Joel Edgerton, Lucy Fry, Noomi Rapace, Edgar Ramírez",United States of America,2017,2017-12-22,
Suicide Squad,David Ayer,"Will Smith, Jared Leto, Margot Robbie, Joel Kinnaman, Viola Davis",United States of America,2016,2016-08-03,
Fury,David Ayer,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña, Jon Bernthal",United States of America,2014,2014-10-15,
Sabotage,David Ayer,"Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Mireille Enos, Joe Manganiello",United States of America,2014,2014-03-28,
End of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour",United States of America,2012,2012-09-20,
The Gardener,David Charhon,"Jean-Claude Van Damme, Michaël Youn, Nawell Madani, Carla Poquin, Jérôme Le Banner","Belgium, France",2025,2025-01-30,
The Last Mercenary,David Charhon,"Jean-Claude Van Damme, Alban Ivanov, Samir Decazza, Assa Sylla, Eric Judor",France,2021,2021-07-30,
On the Other Side of the Tracks,David Charhon,"Omar Sy, Laurent Lafitte, Sabrina Ouazani, Lionel Abelanski, Youssef Hajdi",France,2012,2012-12-15,
Until Dawn,David F. Sandberg,"Ella Rubin, Michael Cimino, Odessa A'zion, Ji-young Yoo, Belmont Cameli",United States of America,2025,2025-04-23,
Shazam! Fury of the Gods,David F. Sandberg,"Zachary Levi, Asher Angel, Jack Dylan Grazer, Rachel Zegler, Adam Brody",United States of America,2023,2023-03-15,
Shazam!,David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, Adam Brody",United States of America,2019,2019-03-29,
Annabelle: Creation,David F. Sandberg,"Stephanie Sigman, Talitha Eliana Bateman, Lulu Wilson, Anthony LaPaglia, Miranda Otto",United States of America,2017,2017-08-03,
Directing Annabelle: Creation,David F. Sandberg,"David F. Sandberg, Talitha Eliana Bateman, Stephanie Sigman, Miranda Otto, Lulu Wilson",United States of America,2017,2017-08-07,
