Title,Director,cast,Start,Release_year,popularity,End
Blitz,Elliott Lester,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton, Luke Evans",2011-05-20,2011,30.12,
Breathe,Stefon Bristol,"Jennifer Hudson, Milla Jovovich, Quvenzhané Wallis, Common, Sam Worthington",2024-04-04,2024,56.687,
Breathe,Andy Serkis,"Andrew Garfield, Claire Foy, Hugh Bonneville, Tom Hollander, Miranda Raison",2017-10-13,2017,17.338,
Breathe,Mélanie Laurent,"Joséphine Japy, Lou de Laâge, Isabelle Carré, Roxane Duran, Claire Keim",2014-11-12,2014,8.079,
Brothers,Max Barbakow,"Josh Brolin, Peter Dinklage, Glenn Close, Brendan Fraser, Taylour Paige",2024-10-10,2024,86.536,
Brothers,Olivier Casas,"Mathieu Kassovitz, Yvan Attal, Anaïs Parello, Cécile Morel, Alma Jodorowsky",2024-04-24,2024,12.136,
Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah",2015-08-14,2015,7.617,
Cargo,"Ben Howling, Yolanda Ramke","Martin Freeman, Simone Landers, Anthony Hayes, Susie Porter, Caren Pistorius",2017-10-06,2017,29.27,
Cargo,"Yolanda Ramke, Ben Howling","Andy Rodoreda, Alison Gallagher, Ruth Venn, Yolanda Ramke, Kallan Richards",2013-04-02,2013,7.697,
Cherry,"Joe Russo, Anthony Russo","Tom Holland, Ciara Bravo, Jack Reynor, Michael Rispoli, Jeffrey Wahlberg",2021-02-26,2021,31.649,
Cherry,Jeffrey Fine,"Kyle Gallner, Laura Allen, Britt Robertson, Matt Walsh, Esai Morales",2010-10-08,2010,5.4,
Cinderella,Kay Cannon,"Camila Cabello, Nicholas Galitzine, Idina Menzel, Billy Porter, Pierce Brosnan",2021-09-03,2021,29.788,
Cinderella,Kenneth Branagh,"Lily James, Cate Blanchett, Richard Madden, Stellan Skarsgård, Holliday Grainger",2015-03-06,2015,104.479,
City Hunter,Yuichi Satoh,"Ryohei Suzuki, Misato Morita, Masanobu Ando, Fumino Kimura, Asuka Hanamura",2024-04-24,2024,51.573,
City Hunter,Philippe Lacheau,"Philippe Lacheau, Élodie Fontan, Tarek Boudali, Julien Arruti, Didier Bourdon",2019-02-06,2019,11.599,
Close,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker, Igor van Dessel",2022-11-01,2022,30.07,
Close,Vicky Jewson,"Noomi Rapace, Sophie Nélisse, Indira Varma, Eoin Macken, Akin Gazi",2019-02-22,2019,26.288,
Counterattack,Chava Cartas,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava",2025-02-27,2025,80.174,
Counterattack,Vincent Zhao Wenzhuo,"Vincent Zhao Wenzhuo, Jiang Yiyi, Lu Peng, Song Hanhuan, Diego Dati",2021-02-15,2021,51.066,
Crawl,Alexandre Aja,"Kaya Scodelario, Barry Pepper, Morfydd Clark, Ross Anderson, Jose Palma",2019-07-11,2019,34.256,
Crawl,Paul China,"Lauren Dillon, George Shevtsov, Paul Holmes, Georgina Haig, Bob Newman",2011-10-15,2011,4.554,
Damsel,Juan Carlos Fresnadillo,"Millie Bobby Brown, Ray Winstone, Angela Bassett, Brooke Carter, Nick Robinson",2024-03-07,2024,85.795,
Damsel,"David Zellner, Nathan Zellner","Robert Pattinson, Mia Wasikowska, David Zellner, Nathan Zellner, Joseph Billingiere",2018-06-22,2018,9.939,
Dead Sea,Phil Volken,"Isabel Gravitt, Alexander Wraith, Dean Cameron, Garrett Wareing, Genneya Walton",2024-07-26,2024,36.666,
Dead Sea,Brandon Slagle,"James Duval, Devanny Pinn, Tawny Amber Young, Alexis Iacono, Britt Griffith",2014-04-15,2014,6.799,
Dear David,Lucky Kuswandi,"Shenina Cinnamon, Emir Mahira, Caitlin North Lewis, Palestina Irtiza, Michael Olindo",2023-02-09,2023,65.74,
Dear David,John McPhail,"Augustus Prew, Andrea Bang, Justin Long, René Escobar Jr., Cameron Nicoll",2023-10-13,2023,10.85,
Dear Santa,Bobby Farrelly,"Robert Timothy Smith, Jack Black, Keegan-Michael Key, Brianne Howey, Hayes MacArthur",2024-11-24,2024,34.456,
Dear Santa,Jason Priestley,"Amy Acker, David Haydn-Jones, Gina Holden, James Dugan, Patrick Creery",2011-08-11,2011,6.567,
Desire,Diego Kaplan,"Mónica Antonópulos, Guilherme Winter, Juan Sorini, Andrea Frigerio, Sol Charo Martínez",2017-10-05,2017,14.665,
Desire,Laurent Bouhnik,"Déborah Révy, Hélène Zimmer, Gowan Didi, Johnny Amaro, Johan Libéreau",2011-10-06,2011,40.803,
Diary of a Wimpy Kid,Swinton O. Scott III,"Brady Noon, Ethan William Childress, Hunter Dillon, Erica Cerra, Chris Diamantopoulos",2021-12-02,2021,26.503,
Diary of a Wimpy Kid,Thor Freudenthal,"Zachary Gordon, Robert Capron, Steve Zahn, Devon Bostick, Rachael Harris",2010-03-19,2010,31.191,
Diary of a Wimpy Kid: Rodrick Rules,Luke Cormican,"Brady Noon, Ethan William Childress, Hunter Dillon, Erica Cerra, Chris Diamantopoulos",2022-12-02,2022,21.821,
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,"Zachary Gordon, Devon Bostick, Robert Capron, Steve Zahn, Rachael Harris",2011-03-25,2011,28.707,
Dogman,Luc Besson,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick, John Charles Aguilar",2023-09-27,2023,121.774,
Dogman,Matteo Garrone,"Marcello Fonte, Edoardo Pesce, Nunzia Schiano, Adamo Dionisi, Francesco Acquaroli",2018-05-17,2018,14.209,
Drive,Tarun Mansukhani,"Sushant Singh Rajput, Jacqueline Fernandez, Vikramjeet Virk, Sapna Pabbi, Boman Irani",2019-11-01,2019,7.307,
Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, Oscar Isaac",2011-09-15,2011,39.282,
Dune,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård",2021-09-15,2021,148.343,
Dune,Gábor Ulrich,,2020-06-15,2020,7.118,
Eden,Ron Howard,"Jude Law, Vanessa Kirby, Daniel Brühl, Sydney Sweeney, Ana de Armas",2025-04-03,2025,49.372,
Eden,Estefanía Cortes,"Charlotte Vega, Marta Nieto, Israel Elejalde, Ramón Barea",2022-10-28,2022,10.487,
Eden,Ulla Heikkilä,"Aamu Milonoff, Linnea Skog, Bruno Baer, Amos Brotherus, Satu Tuuli Karhu",2020-08-07,2020,6.066,
Eden,Mia Hansen-Løve,"Félix de Givry, Pauline Étienne, Vincent Macaigne, Hugo Conzelmann, Zita Hanrot",2014-11-19,2014,14.162,
Eden,Megan Griffiths,"Jamie Chung, Matt O'Leary, Beau Bridges, Jeanine Monterroza, Naama Kates",2013-03-20,2013,15.387,
Eden,Shyam Madiraju,"Jessica Lowndes, Ethan Peck, Diego Boneta, Nate Parker, Mario Casas",2013-07-19,2013,8.203,
Escape,Lee Jong-pil,"Lee Je-hoon, Koo Kyo-hwan, Hong Xa-bin, Seo Hyun-woo, Lee Sung-wook",2024-07-03,2024,46.375,
Escape,Howard J. Ford,"Sarah Alexandra Marks, Sophie Rankin, Sean Cronin, Glenn Salvage, Jon-Paul Gates",2024-03-15,2024,19.436,
Escape,Roar Uthaug,"Isabel Christine Andreasen, Ingrid Bolsø Berdal, Kristian Espedal, Hallvard Holmen, Bjørn Moan",2012-09-28,2012,9.843,
Escape Room,Adam Robitel,"Taylor Russell, Logan Miller, Jay Ellis, Deborah Ann Woll, Nik Dodani",2019-01-03,2019,42.393,
Escape Room,Will Wernick,"Evan Williams, Annabelle Stephenson, Elisabeth Hower, Dan J. Johnson, John Ierardi",2017-06-19,2017,15.489,
Escape Room,Peter Dukes,"Skeet Ulrich, Sean Young, Christine Donlon, Randy Wayne, Matt McVay",2017-08-31,2017,10.722,
Extinction,Ben Young,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Lex Shrapnel",2018-07-15,2018,54.505,
Extinction,Miguel Ángel Vivas,"Matthew Fox, Jeffrey Donovan, Quinn McColgan, Valeria Vereau, Clara Lago",2015-08-07,2015,33.104,
Extinction,Adam Spinks,"Ben Loyd-Holmes, Sarah Mac, Neil Newbon, Daniel Caren, Emma Lillie Lees",2014-08-24,2014,13.344,
Extraction,Sam Hargrave,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi",2020-04-23,2020,50.256,
Extraction,Steven C. Miller,"Bruce Willis, Gina Carano, Kellan Lutz, D. B. Sweeney, Dan Bilzerian",2015-12-18,2015,14.433,
Extraction,Tony Giglio,"Jonathan Patrick Foo, Danny Glover, Sean Astin, Joanne Kelly, Falk Hentschel",2013-09-05,2013,9.639,
Flow,Gints Zilbalodis,,2024-08-29,2024,632.705,
Flow,Hugues Hariche,"John Fournier, Michaela Landay, Michael Warshauer, Nicolas V. Costrini, Jared Bacon",2012-11-14,2012,6.163,
Freedom,Mélanie Laurent,"Lucas Bravo, Yvan Attal, Léa Luce Busato, Steve Tientcheu, David Ayala",2024-11-01,2024,71.049,
Freedom,Peter Cousens,"Bernhard Forcher, Cuba Gooding Jr., William Sadler, Sharon Leal, David Rasche",2014-08-21,2014,6.506,
Frozen,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad, Livvy Stubenrauch",2013-11-20,2013,109.748,
Frozen,Adam Green,"Emma Bell, Shawn Ashmore, Kevin Zegers, Ed Ackerman, Rileah Vanderbilt",2010-02-05,2010,30.006,
Get Out,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones",2017-02-24,2017,65.597,
Get Out,"Pascal Han-Kwan, Tristan Reinarz, Fanny Roche, Charlotte Boisson, Julien Fourvel","Jacques Briere, Philippe Peythieu",2010-02-01,2010,4.533,
Good Boy,Ben Leonberg,"Stuart Rudin, Shane Jensen, Larry Fessenden, Arielle Friedman, Anya Krawcheck",2025-03-08,2025,7.448,
Good Boy,Viljar Bøe,"Gard Løkke, Katrine Lovise Øpstad Fredriksen, Amalie Willoch Njaastad, Nicolai Narvesen Lied, Viljar Bøe",2022-06-03,2022,37.941,
Good Boy,Tyler MacIntyre,"Judy Greer, Ellen Wong, McKinley Freeman, Steve Guttenberg, Elise Neal",2020-06-12,2020,7.822,
Haunt,"Scott Beck, Bryan Woods","Katie Stevens, Will Brittain, Lauryn McClain, Shazi Raja, Andrew Lewis Caldwell",2019-09-13,2019,39.539,
Haunt,Mac Carter,"Jacki Weaver, Liana Liberato, Danielle C. Ryan, Harrison Gilbertson, Brian Wimmer",2014-06-27,2014,10.322,
High Society,Byun Hyuk,"Park Hae-il, Soo Ae, Yoon Je-moon, Ra Mi-ran, Lee Jin-uk",2018-08-29,2018,18.386,
High Society,Anika Decker,"Emilia Schüle, Jannis Niewöhner, Caro Cult, Iris Berben, Katja Riemann",2017-09-14,2017,32.603,
Hold Your Breath,"Will Joines, Karrie Crouse","Sarah Paulson, Amiah Miller, Annaleigh Ashford, Alona Jane Robbins, Ebon Moss-Bachrach",2024-09-12,2024,33.679,
Hold Your Breath,Jared Cohn,"Katrina Bowden, Randy Wayne, Erin Marie Hogan, Steve Hanks, Joshua Michael Allen",2012-10-05,2012,7.589,
How to Train Your Dragon,Dean DeBlois,"Mason Thames, Nico Parker, Gerard Butler, Nick Frost, Julian Dennison",2025-06-11,2025,71.591,
How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",2010-03-18,2010,110.044,
Hypnotic,Robert Rodriguez,"Ben Affleck, Alice Braga, William Fichtner, J. D. Pardo, Dayo Okeniyi",2023-05-11,2023,37.993,
Hypnotic,"Matt Angel, Suzanne Coote","Kate Siegel, Jason O'Mara, Dulé Hill, Lucie Guest, Jaime M. Callica",2021-10-27,2021,15.46,
I'm Still Here,Walter Salles,"Fernanda Torres, Selton Mello, Valentina Herszage, Bárbara Luz, Guilherme Silveira",2024-09-19,2024,234.13,
I'm Still Here,Casey Affleck,"Joaquin Phoenix, Antony Langdon, Carey Perloff, Larry McHale, Casey Affleck",2010-09-10,2010,20.803,
Incoming,"Dave Chernin, John Chernin","Mason Thames, Ramon Reed, Raphael Alejandro, Isabella Ferreira, Bardia Seiri",2024-08-22,2024,46.797,
Incoming,Eric Zaragoza,"Scott Adkins, Aaron McCusker, Michelle Lehane, Vahidin Prelić, Lukas Loughran",2018-05-04,2018,9.858,
Inheritance,Neil Burger,"Phoebe Dynevor, Rhys Ifans, Ciara Baxendale, Kersti Bryan, Majd Eid",2025-01-24,2025,75.412,
Inheritance,Sylwester Jakimow,"Maciej Stuhr, Gabriela Muskała, Franciszek Słomiński, Józefina Karnkowska, Joanna Trzepiecińska",2024-06-19,2024,13.243,
Inheritance,Vaughn Stein,"Lily Collins, Simon Pegg, Connie Nielsen, Chace Crawford, Patrick Warburton",2020-04-30,2020,22.517,
Into the Deep,Christian Sesma,"Scout Taylor-Compton, Richard Dreyfuss, Stuart Townsend, Jon Seda, AnnaMaria Demara",2025-01-23,2025,27.858,
Into the Deep,Kate Cox,"Ella-Rae Smith, Jessica Alexander, Matthew Daddario, Nikkita Chadha, Jack Morris",2022-08-26,2022,11.065,
Invasion,Bobby Boermans,"Tarikh Janssen, Gijs Blom, Ortál Vriend, Jasha Rudge, Fedja van Huêt",2024-04-11,2024,58.737,
Invasion,Fyodor Bondarchuk,"Alexander Petrov, Irina Starshenbaum, Oleg Menshikov, Rinal Mukhametov, Yura Borisov",2020-02-27,2020,33.552,
It,Andy Muschietti,"Jaeden Martell, Sophia Lillis, Jack Dylan Grazer, Finn Wolfhard, Jeremy Ray Taylor",2017-09-06,2017,68.356,
It,"Anouk de Clercq, Tom Callemin",,2017-12-14,2017,12.823,
Joy,Ben Taylor,"Bill Nighy, James Norton, Thomasin McKenzie, Charlie Murphy, Rish Shah",2024-11-15,2024,29.708,
Joy,David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez, Diane Ladd",2015-12-24,2015,20.053,
Kill,Nikhil Nagesh Bhat,"Lakshya Lalwani, Raghav Juyal, Tanya Maniktala, Ashish Vidhyarthi, Abhishek Chauhan",2024-07-03,2024,76.746,
Kill,Rodger Griffiths,"Daniel Portman, Brian Vernel, Calum Ross, Paul Higgins, James Harkness",2024-09-06,2024,14.604,
Lady Chatterley's Lover,Laure de Clermont-Tonnerre,"Emma Corrin, Jack O'Connell, Matthew Duckett, Joely Richardson, Faye Marsay",2022-11-22,2022,25.415,
Lady Chatterley's Lover,Jed Mercurio,"Richard Madden, Holliday Grainger, James Norton, Howard Ward, Elizabeth Rider",2015-09-06,2015,10.504,
Last Breath,Alex Parkinson,"Woody Harrelson, Simu Liu, Finn Cole, Cliff Curtis, Mark Bonnar",2025-02-24,2025,52.814,
Last Breath,Costa-Gavras,"Denis Podalydès, Kad Merad, Virginie Sibalo, Charlotte Rampling, Marilyne Canto",2025-02-01,2025,6.467,
Last Breath,"Alex Parkinson, Richard Da Costa","Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson, Glenn Brunskill, Michal Cichorski",2019-04-05,2019,13.988,
Leap Year,Anand Tucker,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow, Noel O'Donovan",2010-01-08,2010,30.524,
Leap Year,Michael Rowe,"Mónica del Carmen, Gustavo Sánchez Parra, Marco Zapata, Dagoberto Gama, Diego Chaz",2010-05-17,2010,11.013,
Leo,"Robert Smigel, Robert Marianetti, David Wachtenheim","Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander, Rob Schneider",2023-11-17,2023,65.59,
Leo,Lokesh Kanagaraj,"Vijay, Sanjay Dutt, Arjun Sarja, Trisha Krishnan, Gautham Vasudev Menon",2023-10-18,2023,11.716,
Les Misérables,Ladj Ly,"Damien Bonnard, Alexis Manenti, Djebril Zonga, Steve Tientcheu, Jeanne Balibar",2019-11-14,2019,14.956,
Les Misérables,Tom Hooper,"Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen",2012-12-18,2012,27.716,
Life,Daniel Espinosa,"Jake Gyllenhaal, Ryan Reynolds, Rebecca Ferguson, Hiroyuki Sanada, Olga Dihovichnaya",2017-03-22,2017,37.472,
Life,Anton Corbijn,"Robert Pattinson, Dane DeHaan, Joel Edgerton, Ben Kingsley, Kelly McCreary",2015-09-09,2015,9.183,
Lights Out,Christian Sesma,"Frank Grillo, Mekhi Phifer, Jaime King, Dermot Mulroney, Scott Adkins",2024-02-16,2024,21.51,
Lights Out,David F. Sandberg,"Teresa Palmer, Maria Bello, Gabriel Bateman, Alexander DiPersia, Alicia Vela-Bailey",2016-07-21,2016,26.438,
Love,Gaspar Noé,"Karl Glusman, Aomi Muyock, Klara Kristin, Ugo Fox, Juan Saavedra",2015-05-25,2015,25.165,
Love,William Eubank,"Gunner Wright, Wesley Sellick, Corey Richardson, Bradley Horne, Nancy Stelle",2011-02-02,2011,6.504,
Mama,Adi Garin,"Nafiza Fatia Rani, Rizky Hanggono, Ayu Inten, Agnes Naomi, Tanta Ginting",2025-01-23,2025,6.672,
Mama,Andy Muschietti,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse, Daniel Kash",2013-01-17,2013,34.348,
Man in Love,Chen-Hao Yin,"Roy Chiu, Tiffany Hsu Wei-Ning, Tsai Chen-Nan, Chung Hsin-ling, Lan Wei-Hua",2021-04-01,2021,25.333,
Man in Love,Han Dong-wook,"Hwang Jung-min, Han Hye-jin, Nam Il-woo, Kwak Do-won, Jeong Man-sik",2014-01-22,2014,5.891,
Marco,Haneef Adeni,"Unni Mukundan, Siddique, Ishan Shoukath, Jagadish, Abhimanyu Thilakan",2024-12-20,2024,34.38,
Marco,"Martí Garcia Solé, Eneko Amasene, Arnau García, Guifré Surinyac","Martí Garcia Solé, Guifré Surinyac, Arnau García, Eneko Amasene, Alan García",2024-06-29,2024,14.659,
Maria,Pablo Larraín,"Angelina Jolie, Pierfrancesco Favino, Alba Rohrwacher, Haluk Bilginer, Kodi Smit-McPhee",2024-11-27,2024,67.611,
Maria,Pedring Lopez,"Cristine Reyes, Ivan Padilla, KC Montero, Ronnie Lazaro, Freddie Webb",2019-03-07,2019,10.018,
Mary,D.J. Caruso,"Anthony Hopkins, Noa Cohen, Ido Tako, Mili Avital, Stephanie Nur",2024-12-12,2024,33.182,
Mary,Michael Goi,"Gary Oldman, Emily Mortimer, Manuel Garcia-Rulfo, Owen Teague, Jennifer Esposito",2019-09-19,2019,11.713,
Memory,Michel Franco,"Jessica Chastain, Peter Sarsgaard, Merritt Wever, Josh Charles, Elsie Fisher",2023-12-22,2023,14.605,
Memory,Martin Campbell,"Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres, Ray Fearon",2022-04-28,2022,37.445,
Miracle in Cell No. 7,Mehmet Ada Öztekin,"Aras Bulut İynemli, Nisa Sofiya Aksongur, İlker Aksum, Mesut Akusta, Yıldıray Şahinler",2019-10-10,2019,31.123,
Miracle in Cell No. 7,Lee Hwan-kyung,"Ryu Seung-ryong, Park Shin-hye, Kal So-won, Jung Jin-young, Oh Dal-su",2013-01-23,2013,17.687,
Monolith,Matt Vesely,"Lily Sullivan, Ling Cooper Tang, Ansuya Nathan, Erik Thomson, Terence Crawford",2023-10-26,2023,43.813,
Monolith,Ivan Silvestrini,"Katrina Bowden, Nixon Hodges, Crew Hodges, Damon Dayoub, Brandon W. Jones",2016-05-12,2016,14.692,
Monster,Hirokazu Kore-eda,"Soya Kurokawa, Hinata Hiiragi, Sakura Ando, Eita Nagayama, Yuko Tanaka",2023-06-02,2023,57.638,
Monster,Rako Prijanto,"Marsha Timothy, Alex Abbad, Anantya Rezky Kirana, Sulthan Hamonangan",2023-11-29,2023,11.396,
Monster,Anthony Mandler,"Kelvin Harrison, Jr., Jeffrey Wright, Jennifer Hudson, Jennifer Ehle, Tim Blake Nelson",2021-07-15,2021,10.385,
Monster,Hwang In-ho,"Kim Go-eun, Lee Min-ki, Ahn Seo-hyun, Kim Roi-ha, Kim Bu-seon",2014-03-13,2014,9.194,
Mothers' Instinct,Benoît Delhomme,"Anne Hathaway, Jessica Chastain, Anders Danielsen Lie, Josh Charles, Caroline Lagerfelt",2024-01-11,2024,33.075,
Mothers' Instinct,Olivier Masset-Depasse,"Veerle Baetens, Anne Coesens, Mehdi Nebbou, Arieh Worthalter, Jules Lefebvre",2019-04-17,2019,12.376,
Non-Stop,Jack Kinsella,"Jonathan Ogden, Archie Bysouth",2025-02-28,2025,9.303,
Non-Stop,Jaume Collet-Serra,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery, Nate Parker",2014-02-26,2014,25.908,
