Organization_name,Organization_type,Role,Name,Start,End
Volkswagen Group,company,CEO,Oliver Blume,2022-09-01,
Alphabet Inc.,company,CEO,Larry Page,2015-08-10,2019-12-03
Alphabet Inc.,company,CEO,Sundar Pichai,2019-12-03,
Toyota,company,CEO,Akio Toyoda,2009-01-01,
Toyota,company,CEO,Katsuaki Watanabe,2005-01-01,2009-01-01
TotalEnergies,company,CEO,Christophe de Margerie,2007-01-01,2014-10-20
TotalEnergies,company,CEO,Thierry Desmarest,1995-01-01,2007-01-01
TotalEnergies,company,CEO,Serge Tchuruk,1990-01-01,1995-01-01
TotalEnergies,company,CEO,François-Xavier Ortoli,1984-01-01,1990-01-01
TotalEnergies,company,CEO,René Granier de Lilliac,1971-01-01,1984-01-01
TotalEnergies,company,CEO,Victor de Metz,1945-01-01,1971-01-01
TotalEnergies,company,CEO,Jules Mény,1928-01-01,1943-01-01
TotalEnergies,company,CEO,Anas Farouki,1924-01-01,1928-01-01
TotalEnergies,company,CEO,Patrick Pouyanné,2014-01-01,
TotalEnergies,company,CEO,Marcel Champin,1943-01-01,1945-01-01
Glencore,company,CEO,Ivan Glasenberg,2002-01-01,2021-01-01
Glencore,company,CEO,Gary Nagle,2021-01-01,
BP,company,CEO,Bob Dudley,2010-10-01,2020-02-05
BP,company,CEO,Bernard Looney,2020-02-05,2024-01-01
BP,company,CEO,Murray Auchincloss,2024-01-01,
Microsoft,company,CEO,Steve Ballmer,2000-01-01,2014-02-04
Microsoft,company,CEO,Satya Nadella,2014-02-04,
Microsoft,company,CEO,Bill Gates,1975-01-01,2000-01-01
Gazprom,company,CEO,Alexey Miller,2001-01-01,
Gazprom,company,CEO,Rem Viakhirev,1992-01-01,2001-01-01
Ford Motor Company,company,CEO,Mark Fields,2014-01-01,2017-05-21
Ford Motor Company,company,CEO,Jim Farley,2020-10-01,
Ford Motor Company,company,CEO,John S. Gray,1903-01-01,1906-01-01
Ford Motor Company,company,CEO,Henry Ford,1906-01-01,1945-01-01
Ford Motor Company,company,CEO,Henry Ford II,1945-01-01,1979-01-01
Ford Motor Company,company,CEO,Philip Caldwell,1979-01-01,1985-01-01
Ford Motor Company,company,CEO,Donald Petersen,1985-01-01,1990-01-01
Ford Motor Company,company,CEO,Harold Arthur Poling,1990-01-01,1993-01-01
Ford Motor Company,company,CEO,"Alexander Trotman, Baron Trotman",1993-01-01,1998-01-01
Ford Motor Company,company,CEO,Jacques Nasser,1999-01-01,2001-01-01
Ford Motor Company,company,CEO,William Clay Ford,2001-01-01,2006-01-01
Ford Motor Company,company,CEO,Alan Mulally,2006-01-01,2014-01-01
Ford Motor Company,company,CEO,James Hackett,2017-01-01,2020-01-01
United Nations,organization,general secretary,António Guterres,2017-01-01,
United Nations,organization,general secretary,Ban Ki-moon,2007-01-01,2016-12-31
United Nations,organization,general secretary,Kofi Annan,1997-01-01,2006-01-01
United Nations,organization,general secretary,Boutros Boutros-Ghali,1992-01-01,1996-12-31
United Nations,organization,general secretary,Javier Pérez de Cuéllar,1982-01-01,1991-12-31
United Nations,organization,general secretary,Kurt Waldheim,1972-01-01,1981-12-31
United Nations,organization,general secretary,U Thant,1961-11-03,1971-12-31
United Nations,organization,general secretary,Dag Hammarskjöld,1953-04-10,1961-09-18
United Nations,organization,general secretary,Trygve Lie,1946-02-02,1952-11-10
World Bank,organization,chairperson,Kristalina Georgieva,2019-02-20,2019-04-09
World Bank,organization,chairperson,Jim Yong Kim,2012-07-01,2019-02-01
World Bank,organization,chairperson,David Malpass,2019-04-09,2023-06-01
World Bank,organization,chairperson,Ajaypal Singh Banga,2023-06-02,
International Atomic Energy Agency,organization,director / manager,Yukiya Amano,2009-01-01,2019-07-18
International Atomic Energy Agency,organization,director / manager,Mohamed ElBaradei,1997-01-01,2009-01-01
International Atomic Energy Agency,organization,director / manager,William Sterling Cole,1957-01-01,1961-01-01
International Atomic Energy Agency,organization,director / manager,Sigvard Arne Eklund,1961-01-01,1981-01-01
International Atomic Energy Agency,organization,director / manager,Hans Blix,1981-01-01,1997-01-01
International Atomic Energy Agency,organization,director / manager,Rafael Grossi,2019-12-03,
North Atlantic Treaty Organization,organization,general secretary,Jens Stoltenberg,2024-10-01,
North Atlantic Treaty Organization,organization,general secretary,Jens Stoltenberg,2014-10-01,2024-09-30
North Atlantic Treaty Organization,organization,general secretary,Anders Fogh Rasmussen,2009-01-01,2014-09-30
North Atlantic Treaty Organization,organization,general secretary,Jaap de Hoop Scheffer,2004-01-01,2009-01-01
North Atlantic Treaty Organization,organization,general secretary,Alessandro Minuto-Rizzo,2003-01-01,2003-01-01
North Atlantic Treaty Organization,organization,general secretary,"George Robertson, Baron Robertson of Port Ellen",1999-10-14,2003-01-01
North Atlantic Treaty Organization,organization,general secretary,Javier Solana,1995-12-05,1999-10-06
North Atlantic Treaty Organization,organization,general secretary,Sergio Balanzino,1995-10-20,1995-12-05
North Atlantic Treaty Organization,organization,general secretary,Willy Claes,1994-10-17,1995-10-20
North Atlantic Treaty Organization,organization,general secretary,Sergio Balanzino,1994-08-13,1994-10-17
North Atlantic Treaty Organization,organization,general secretary,Manfred Wörner,1988-07-01,1994-08-13
North Atlantic Treaty Organization,organization,general secretary,"Peter Carington, 6th Baron Carrington",1984-06-25,1988-07-01
North Atlantic Treaty Organization,organization,general secretary,Joseph Luns,1971-10-01,1984-06-25
International Olympic Committee,organization,chairperson,Dimitrios Vikelas,1894-01-01,1896-01-01
International Olympic Committee,organization,chairperson,Pierre de Coubertin,1896-01-01,1916-01-01
International Olympic Committee,organization,chairperson,Godefroy de Blonay,1916-01-01,1919-01-01
International Olympic Committee,organization,chairperson,Pierre de Coubertin,1919-01-01,1925-01-01
International Olympic Committee,organization,chairperson,Henri de Baillet-Latour,1925-01-01,1942-01-01
International Olympic Committee,organization,chairperson,Sigfrid Edström,1942-01-01,1946-01-01
International Olympic Committee,organization,chairperson,Sigfrid Edström,1946-01-01,1952-01-01
International Olympic Committee,organization,chairperson,Avery Brundage,1952-01-01,1972-01-01
International Olympic Committee,organization,chairperson,"Michael Morris, 3rd Baron Killanin",1972-01-01,1980-01-01
International Olympic Committee,organization,chairperson,Juan Antonio Samaranch,1980-01-01,2001-01-01
International Olympic Committee,organization,chairperson,Jacques Rogge,2001-01-01,2013-01-01
International Olympic Committee,organization,chairperson,Thomas Bach,2013-09-10,
