Country,Role,Name,Start,End
Poland,Prime Minister,Jerzy Buzek,1997-10-31,2001-10-19
Poland,Prime Minister,Leszek Miller,2001-10-19,2004-05-02
Poland,Prime Minister,Marek Belka,2004-05-02,2005-10-31
Poland,Prime Minister,Kazimierz Marcinkiewicz,2005-10-31,2006-07-14
Poland,Prime Minister,Mateusz Morawiecki,2017-12-11,2023-12-13
Poland,Prime Minister,Donald Tusk,2023-12-13,
Belgium,Monarch,Baudouin I,1951-07-17,1993-07-31
Belgium,Monarch,Albert II,1993-08-09,2013-07-21
Belgium,Monarch,Philippe,2013-07-21,
Belgium,Prime Minister,Sophie Wilmès,2019-10-27,2020-10-01
Belgium,Prime Minister,Charles Michel,2014-10-11,2019-10-27
Belgium,Prime Minister,Alexander De Croo,2020-10-01,
Argentina,President,Javier Milei,2023-12-10,
Argentina,President,Alberto Fernández,2019-12-10,2023-12-10
Sweden,Monarch,Carl XVI Gustaf,1973-09-15,
Sweden,Monarch,Gustaf VI Adolf,1950-10-29,1973-09-15
Sweden,Prime Minister,Stefan Löfven,2014-10-03,2021-10-30
Sweden,Prime Minister,Fredrik Reinfeldt,2006-10-06,2014-10-03
Sweden,Prime Minister,Göran Persson,1996-03-22,2006-10-06
Sweden,Prime Minister,Ingvar Carlsson,1994-10-07,1996-03-22
Sweden,Prime Minister,Carl Bildt,1991-10-14,1994-10-07
Sweden,Prime Minister,Ingvar Carlsson,1990-02-27,1991-10-04
Sweden,Prime Minister,Magdalena Andersson,2021-11-30,2022-10-18
Sweden,Prime Minister,Ulf Kristersson,2022-10-18,
Ireland,President,Michael D. Higgins,2011-11-11,
Ireland,President,Mary McAleese,1997-11-11,2011-11-11
Norway,Monarch,Harald V,1991-01-17,
Norway,Monarch,Olav V,1957-09-21,1991-01-17
Norway,Prime Minister,Erna Solberg,2013-10-16,2021-10-14
Norway,Prime Minister,Jens Stoltenberg,2005-10-17,2013-10-16
Norway,Prime Minister,Kjell Magne Bondevik,2001-10-19,2005-10-17
Norway,Prime Minister,Jens Stoltenberg,2000-03-17,2001-10-19
Norway,Prime Minister,Kjell Magne Bondevik,1997-10-17,2000-03-17
Norway,Prime Minister,Thorbjørn Jagland,1996-10-25,1997-10-17
Norway,Prime Minister,Gro Harlem Brundtland,1990-11-03,1996-10-25
Norway,Prime Minister,Anne Enger,1998-08-31,1998-09-24
Norway,Prime Minister,Jan P. Syse,1989-10-16,1990-11-03
Norway,Prime Minister,Jonas Gahr Støre,2021-10-14,
Austria,President,Heinz Fischer,2004-07-08,2016-07-08
Austria,President,Thomas Klestil,1992-07-08,2004-07-06
Austria,President,Kurt Waldheim,1986-07-08,1992-07-08
Austria,President,Alexander Van der Bellen,2017-01-26,
Austria,Federal Chancellor,Werner Faymann,2008-12-02,2016-05-09
Austria,Federal Chancellor,Alfred Gusenbauer,2007-01-11,2008-12-02
Austria,Federal Chancellor,Wolfgang Schüssel,2000-02-04,2007-01-11
Austria,Federal Chancellor,Viktor Klima,1997-01-28,2000-02-04
Austria,Federal Chancellor,Franz Vranitzky,1986-06-16,1997-01-20
Austria,Federal Chancellor,Christian Kern,2016-05-17,2017-12-18
Austria,Federal Chancellor,Sebastian Kurz,2017-12-18,2019-05-28
Austria,Federal Chancellor,Hartwig Löger,2019-05-28,2019-06-03
Austria,Federal Chancellor,Brigitte Bierlein,2019-06-03,2020-01-07
Austria,Federal Chancellor,Sebastian Kurz,2020-01-07,2021-10-11
Austria,Federal Chancellor,Alexander Schallenberg,2021-10-11,2021-12-06
Austria,Federal Chancellor,Karl Nehammer,2021-12-06,
Israel,President,Isaac Herzog,2021-07-07,
Israel,President,Reuven Rivlin,2014-07-24,2021-07-07
Israel,President,Shimon Peres,2007-07-15,2014-07-24
Israel,President,Chaim Herzog,1983-05-05,1993-05-13
Israel,President,Ezer Weizman,1993-05-13,2000-07-13
Israel,President,Moshe Katsav,2000-08-01,2007-07-01
Israel,President,Avraham Burg,2000-07-12,2000-08-01
Israel,President,Dalia Itzik,2007-01-07,2007-07-18
Israel,Prime Minister,Benjamin Netanyahu,2009-03-31,2021-06-13
Israel,Prime Minister,Yitzhak Shamir,1986-10-20,1992-07-13
Israel,Prime Minister,Yitzhak Shamir,1986-10-20,1992-07-13
Israel,Prime Minister,Yizhak Rabin,1992-07-13,1995-11-04
Israel,Prime Minister,Shimon Peres,1995-11-04,1996-06-18
Israel,Prime Minister,Benjamin Netanyahu,1996-06-18,1999-07-06
Israel,Prime Minister,Ehud Barak,1999-07-06,2001-03-07
Israel,Prime Minister,Ariel Sharon,2001-03-07,2006-04-14
Israel,Prime Minister,Ehud Olmert,2006-04-14,2009-03-31
Israel,Prime Minister,Naftali Bennett,2021-06-13,2022-07-01
Israel,Prime Minister,Yair Lapid,2022-07-01,2022-12-29
Israel,Prime Minister,Benjamin Netanyahu,2022-12-29,
Thailand,King,Vajiralongkorn,2016-12-01,
Thailand,King,Rama X,1952-07-28,2016-10-13
Thailand,Prime Minister,Niwatthamrong Boonsongpaisan,2014-05-07,2014-05-22
Thailand,Prime Minister,Prayut Chan-o-cha,2014-05-22,2023-08-22
Thailand,Prime Minister,Srettha Thavisin,2023-08-24,2024-08-14
Thailand,Prime Minister,Phumtham Wechayachai,2024-08-14,2024-08-16
Thailand,Prime Minister,Paetongtarn Shinawatra,2024-08-16,
United Arab Emirates,President,Mohammed bin Zayed Al Nahyan,2022-05-14,
United Arab Emirates,President,Khalifa bin Zayed Al Nahyan,2004-11-03,2022-05-13
United Arab Emirates,President,Zayed bin Sultan Al Nahyan,1971-12-02,2004-11-02
Singapore,President,Halimah Yacob,2017-09-14,2023-09-13
Singapore,President,Tharman Shanmugaratnam,2023-09-14,
Bangladesh,President,Abdul Hamid,2013-04-14,2023-04-24
Bangladesh,President,Zillur Rahman,2009-02-12,2013-03-20
Bangladesh,President,Mohammad Shahabuddin,2023-04-24,
Bangladesh,Prime Minister,Khaleda Zia,1991-03-20,1996-03-30
Bangladesh,Prime Minister,Muhammad Habibur Rahman,1996-03-30,1996-06-23
Bangladesh,Prime Minister,Sheikh Hasina,1996-06-23,2001-07-15
Bangladesh,Prime Minister,Latifur Rahman,2001-07-15,2001-10-10
Bangladesh,Prime Minister,Khaleda Zia,2001-10-10,2006-10-29
Bangladesh,Prime Minister,Iajuddin Ahmed,2006-10-29,2007-01-11
Bangladesh,Prime Minister,Fazlul Haque,2007-01-11,2007-01-12
Bangladesh,Prime Minister,Fakhruddin Ahmed,2007-01-12,2009-01-06
Bangladesh,Prime Minister,Sheikh Hasina,2009-01-06,2024-08-05
Bangladesh,Prime Minister,Muhammad Yunus,2024-08-05,
Philippines,President,Benigno Aquino III,2010-06-30,2016-06-30
Philippines,President,Rodrigo Duterte,2016-06-30,2022-06-30
Philippines,President,Corazon Aquino,1986-02-25,1992-06-30
Philippines,President,Gloria Macapagal Arroyo,2001-01-20,2010-06-30
Philippines,President,Joseph Estrada,1998-06-30,2001-01-20
Philippines,President,Bongbong Marcos,2022-06-30,
Philippines,President,Fidel Ramos,1992-06-30,1998-06-30
Vietnam,President,Trần Đại Quang,2016-04-02,2018-09-21
Vietnam,President,Nguyen Phu Trong,2018-10-23,2021-04-05
Vietnam,President,Đặng Thị Ngọc Thịnh,2018-09-21,2018-10-23
Vietnam,President,Nguyễn Xuân Phúc,2021-04-05,2023-01-18
Vietnam,President,Võ Văn Thưởng,2023-03-02,2024-03-21
Vietnam,President,Võ Thị Ánh Xuân,2024-03-21,2024-05-22
Vietnam,President,Tô Lâm,2024-05-22,2024-10-21
Vietnam,President,Lương Cường,2024-10-21,
Vietnam,President,Võ Thị Ánh Xuân,2023-01-18,2023-03-02
Vietnam,Prime Minister,Nguyễn Xuân Phúc,2016-04-07,2021-04-05
Vietnam,Prime Minister,Phạm Minh Chính,2021-04-05,
Malaysia,Prime Minister,Mahathir Mohamad,2018-05-10,2020-03-01
Malaysia,Prime Minister,Muhyiddin Yassin,2020-03-01,2021-08-21
Malaysia,Prime Minister,Ismail Sabri Yaakob,2021-08-21,2022-11-24
Malaysia,Prime Minister,Anwar Ibrahim,2022-11-24,
Denmark,monarch,Frederik X,2024-01-14,
Denmark,monarch,Margrethe II,1972-01-14,2024-01-14
Denmark,Prime Minister,Helle Thorning-Schmidt,2011-10-03,2015-06-28
Denmark,Prime Minister,Lars Løkke Rasmussen,2009-04-05,2011-10-03
Denmark,Prime Minister,Anders Fogh Rasmussen,2001-11-27,2009-04-05
Denmark,Prime Minister,Poul Nyrup Rasmussen,1993-01-25,2001-11-27
Denmark,Prime Minister,Poul Schlüter,1982-09-10,1993-01-25
Denmark,Prime Minister,Lars Løkke Rasmussen,2015-06-28,2019-06-27
Denmark,Prime Minister,Mette Frederiksen,2019-06-27,
Egypt,President,Abdel Fattah el-Sisi,2014-06-08,
Egypt,President,Adly Mansour,2013-07-04,2014-06-08
Egypt,Prime Minister,Mostafa Madbouly,2018-06-14,
Egypt,Prime Minister,Sherif Ismail,2015-09-19,2018-06-14
Nigeria,President,Olusegun Obasanjo,1999-05-29,2007-05-29
Nigeria,President,Umaru Musa Yar'Adua,2007-05-29,2010-05-05
Nigeria,President,Muhammadu Buhari,2015-05-29,2023-05-29
Nigeria,President,Bola Tinubu,2023-05-29,
Nigeria,President,Goodluck Jonathan,2010-05-06,2015-05-28
South Africa,President,Jacob Zuma,2009-05-09,2018-02-14
South Africa,President,Cyril Ramaphosa,2018-02-15,
Iran,President,Hassan Rouhani,2013-08-03,2021-08-03
Iran,President,Mahmoud Ahmadinejad,2005-08-03,2013-08-03
Iran,President,Mohammad Khatami,1997-08-03,2005-08-03
Iran,President,Akbar Hashemi Rafsanjani,1989-08-03,1997-08-03
Iran,President,Ebrahim Raisi,2021-08-03,2024-05-19
Iran,President,Mohammad Mokhber,2024-05-19,2024-07-28
Iran,President,Masoud Pezeshkian,2024-07-28,
Colombia,President,Iván Duque,2018-08-07,2022-08-07
Colombia,President,Gustavo Petro Urrego,2022-08-07,
Romania,President,Traian Băsescu,2004-12-21,2014-12-21
Romania,President,Klaus Iohannis,2014-12-21,
Romania,President,Ion Iliescu,1990-05-20,1996-11-29
Romania,President,Ion Iliescu,2000-12-20,2004-12-20
Romania,President,Emil Constantinescu,1996-11-29,2000-12-20
Romania,Prime Minister,Mihai Răzvan Ungureanu,2012-02-09,2012-05-07
Romania,Prime Minister,Emil Boc,2008-12-22,2012-02-06
Romania,Prime Minister,Călin Popescu-Tăriceanu,2004-12-28,2008-12-22
Romania,Prime Minister,Adrian Năstase,2000-12-28,2004-12-28
Romania,Prime Minister,Mugur Isărescu,1999-12-22,2000-12-28
Romania,Prime Minister,Radu Vasile,1998-04-17,1999-12-22
Romania,Prime Minister,Victor Ciorbea,1996-12-12,1998-04-17
Romania,Prime Minister,Nicolae Văcăroiu,1992-11-19,1996-12-11
Romania,Prime Minister,Theodor Stolojan,1991-10-16,1992-11-19
Romania,Prime Minister,Petre Roman,1989-12-26,1991-10-16
Romania,Prime Minister,Dacian Cioloș,2015-11-17,2017-01-04
Romania,Prime Minister,Sorin Grindeanu,2017-01-04,2017-06-29
Romania,Prime Minister,Mihai Tudose,2017-06-29,2018-01-16
Romania,Prime Minister,Viorica Dăncilă,2018-01-29,2019-11-04
Romania,Prime Minister,Victor Ponta,2012-05-07,2015-11-04
Romania,Prime Minister,Ludovic Orban,2019-11-04,2020-12-07
Romania,Prime Minister,Florin Cîțu,2020-12-23,2021-11-25
Romania,Prime Minister,Nicolae Ciucă,2021-11-25,2023-06-15
Romania,Prime Minister,Marcel Ciolacu,2023-06-15,
Chile,President,Eduardo Frei Ruiz-Tagle,1994-03-11,2000-03-11
Chile,President,Michelle Bachelet,2006-03-11,2010-03-11
Chile,President,Patricio Aylwin,1990-03-11,1994-03-11
Chile,President,Ricardo Lagos,2000-03-11,2006-03-11
Chile,President,Sebastián Piñera,2018-03-11,2022-03-11
Chile,President,Michelle Bachelet,2014-03-11,2018-03-11
Chile,President,Gabriel Boric,2022-03-11,
Chile,President,Sebastián Piñera,2010-03-11,2014-03-11
Pakistan,President,Arif Alvi,2018-01-01,
Pakistan,President,Mamnoon Hussain,2013-01-01,2018-01-01
Pakistan,Prime Minister,Shehbaz Sharif,2022-04-11,
Pakistan,Prime Minister,Imran Khan,2018-08-18,2022-04-10
Pakistan,Prime Minister,Nasir-ul-Mulk,2018-06-01,2018-08-18
Pakistan,Prime Minister,Shahid Khaqan Abbasi,2017-08-01,2018-05-31
Pakistan,Prime Minister,Nawaz Sharif,2013-06-05,2017-07-28
Pakistan,Prime Minister,Mir Hazar Khan Khoso,2013-03-25,2013-06-05
Czech Republic,President,Petr Pavel,2023-03-09,
Czech Republic,President,Miloš Zeman,2013-03-08,2023-03-08
Czech Republic,President,Václav Klaus,2003-03-07,2013-03-07
Czech Republic,President,Václav Havel,1993-02-02,2003-02-02
Czech Republic,Prime Minister,Petr Fiala,2021-11-28,
Czech Republic,Prime Minister,Andrej Babiš,2017-12-06,2021-11-28
Czech Republic,Prime Minister,Bohuslav Sobotka,2014-01-29,2017-12-13
Czech Republic,Prime Minister,Jiří Rusnok,2013-06-25,2014-01-29
Czech Republic,Prime Minister,Petr Nečas,2010-06-28,2013-07-10
Czech Republic,Prime Minister,Jan Fischer,2009-04-09,2010-07-10
Czech Republic,Prime Minister,Mirek Topolánek,2006-08-16,2009-05-08
Czech Republic,Prime Minister,Jiří Paroubek,2005-04-25,2006-09-04
Czech Republic,Prime Minister,Stanislav Gross,2004-08-04,2005-04-25
