Country,Law_type,Legality,Start,End
Norway,Same-sex sexual activity,Legal,1972,
Norway,Second parent adoption of same-sex couples,Ilegal,2002,
Norway,Same-sex marriage,Legal,2009,
Norway,Gender marker change in identity documents regarding gender recognition,Legal,2016,
Norway,Joint adoption of same-sex couples,Legal,2009,
Pakistan,Same-sex sexual activity,Ilegal,1860,
Philippines,Same-sex sexual activity,Legal,1870,
Poland,Same-sex sexual activity,Legal,1932,
Portugal,Second parent adoption of same-sex couples,Ilegal,2016,
Portugal,Same-sex sexual activity,Legal,1982,
Portugal,Gender marker change in identity documents regarding gender recognition,Legal,2018,
Portugal,Joint adoption of same-sex couples,Legal,2016,
Portugal,Civil partnership,Legal,2001,
Portugal,Same-sex marriage,Legal,2010,
Romania,Same-sex sexual activity,Legal,1996,
Russia,Same-sex sexual activity,Legal,1993,
Saudi Arabia,Same-sex sexual activity,Ilegal,2001,
Singapore,Same-sex sexual activity,Legal,2023,
Singapore,Gender marker change in identity documents regarding gender recognition,Legal,1990,
South Africa,Same-sex sexual activity,Legal,1998,
South Africa,Gender marker change in identity documents regarding gender recognition,Legal,1974,
South Africa,Civil partnership,Legal,2006,
South Africa,Second parent adoption of same-sex couples,Ilegal,2006,
South Africa,Joint adoption of same-sex couples,Legal,2002,
South Africa,Same-sex marriage,Legal,2006,
South Korea,Gender marker change in identity documents regarding gender recognition,Legal,2006,
Spain,Same-sex sexual activity,Legal,1979,
Spain,Joint adoption of same-sex couples,Legal,2005,
Spain,Second parent adoption of same-sex couples,Ilegal,2005,
Sweden,Same-sex sexual activity,Legal,1944,
Sweden,Second parent adoption of same-sex couples,Ilegal,2003,
Sweden,Joint adoption of same-sex couples,Legal,2003,
Sweden,Gender marker change in identity documents regarding gender recognition,Legal,1972,
Sweden,Same-sex marriage,Legal,2009,
Thailand,Same-sex sexual activity,Legal,1957,
United States of America,Joint adoption of same-sex couples,Legal,2015,
United States of America,Second parent adoption of same-sex couples,Ilegal,2015,
