Member_state,Heritage_element,Status_Inscribed_or_Proclaimed,Region,Start,End
Cambodia / Philippines / South Korea / Vietnam,"Lum medicinal bathing of Sowa Rigpa, knowledge and practices concerning life, health and illness prevention and treatment among the Tibetan people in China",inscribed,APA,2018,
Cambodia / Philippines / South Korea / Vietnam,Taijiquan,inscribed,APA,2020,
Cambodia / Philippines / South Korea / Vietnam,Traditional tea processing techniques and associated social practices in China,inscribed,APA,2022,
China / Mongolia,Mongolian Urtiin Duu – Traditional Folk Long Song,proclaimed,APA,2005,
China / Mongolia,Mongolian Urtiin Duu – Traditional Folk Long Song,inscribed,APA,2008,
China / Malaysia,"Ong Chun/Wangchuan/Wangkang ceremony, rituals and related practices for maintaining the sustainable connection between man and the ocean",inscribed,APA,2020,
China / Malaysia,Carnival of Barranquilla,proclaimed,LAC,2003,
China / Malaysia,Carnival of Barranquilla,inscribed,LAC,2008,
China / Malaysia,Cultural space of Palenque de San Basilio,proclaimed,LAC,2005,
China / Malaysia,Cultural space of Palenque de San Basilio,inscribed,LAC,2008,
China / Malaysia,Carnaval de Negros y Blancos,inscribed,LAC,2009,
China / Malaysia,Holy Week processions in Popayán,inscribed,LAC,2009,
China / Malaysia,"Wayuu normative system, applied by the Pütchipü'üi (palabrero)",inscribed,LAC,2010,
China / Malaysia,Traditional knowledge of the jaguar shamans of Yuruparí,inscribed,LAC,2011,
China / Malaysia,"Festival of Saint Francis of Assisi, Quibdó",inscribed,LAC,2012,
China / Malaysia,"Ancestral system of knowledge of the four indigenous peoples, Arhuaco, Kankuamo, Kogui and Wiwa of the Sierra Nevada de Santa Marta",inscribed,LAC,2022,
Colombia / Cyprus / Germany / Kyrgyzstan / Luxembourg / Nigeria / Slovenia / Togo,"Midwifery: knowledge, skills and practices",inscribed,"LAC, ENA, AST, AFR",2023,
Colombia / Ecuador,"Marimba music, traditional chants and dances from the Colombia South Pacific region and Esmeraldas Province of Ecuador",inscribed,LAC,2015,
Colombia / Ecuador,Oxherding and oxcart traditions in Costa Rica,proclaimed,LAC,2005,
Colombia / Ecuador,Oxherding and oxcart traditions in Costa Rica,inscribed,LAC,2008,
Colombia / Ecuador,"Gbofe of Afounkaha, the music of the transverse trumps of the Tagbana community",proclaimed,AFR,2001,
Colombia / Ecuador,"Gbofe of Afounkaha, the music of the transverse trumps of the Tagbana community",inscribed,AFR,2008,
Colombia / Ecuador,"Zaouli, popular music and dance of the Guro communities in Côte d'Ivoire",inscribed,AFR,2017,
Colombia / Ecuador,Traditional skills of loincloth weaving in Côte d’Ivoire,inscribed,AFR,2023,
Colombia / Ecuador,"Zvončari, annual carnival bell ringers' pageant from the Kastav area",inscribed,ENA,2009,
Colombia / Ecuador,"Festivity of Saint Blaise, the patron of Dubrovnik",inscribed,ENA,2009,
Colombia / Ecuador,Lacemaking in Croatia,inscribed,ENA,2009,
Colombia / Ecuador,Procession Za Krizen ('following the cross') on the island of Hvar,inscribed,ENA,2009,
Colombia / Ecuador,Spring procession of Ljelje/Kraljice (queens) from Gorjani,inscribed,ENA,2009,
Colombia / Ecuador,Traditional manufacturing of children's wooden toys in Hrvatsko Zagorje,inscribed,ENA,2009,
Colombia / Ecuador,Two-part singing and playing in the Istrian scale,inscribed,ENA,2009,
Colombia / Ecuador,Gingerbread craft from Northern Croatia,inscribed,ENA,2010,
Colombia / Ecuador,"Sinjska alka, a knights' tournament in Sinj",inscribed,ENA,2010,
Colombia / Ecuador,Bećarac singing and playing from Eastern Croatia,inscribed,ENA,2011,
Colombia / Ecuador,"Nijemo Kolo, silent circle dance of the Dalmatian hinterland",inscribed,ENA,2011,
Colombia / Ecuador,"Klapa multipart singing of Dalmatia, southern Croatia",inscribed,ENA,2012,
Colombia / Ecuador,"Međimurska popevka, a folksong from Međimurje",inscribed,ENA,2018,
Colombia / Ecuador,"Festivity of Saint Tryphon and the Kolo (chain dance) of Saint Tryphon, traditions of Croats from Boka Kotorska (Bay of Kotor) who live in the Republic of Croatia",inscribed,ENA,2022,
Croatia / Cyprus / France / Greece / Italy / Slovenia / Spain /  / Switzerland,"Art of dry stone walling, knowledge and techniques",inscribed,ENA,2018,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,"Mediterranean diet
(In 2010, Italy, Spain, Greece and Morocco were the first to be recognised, but on 4 December 2013, Portugal, Cyprus and Croatia were also recognised by UNESCO.)",inscribed,"ENA, AFR",2013,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,"La Tumba Francesa, a secular Afro-Cuban genre of dance, song, and drumming",proclaimed,LAC,2003,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,"La Tumba Francesa, a secular Afro-Cuban genre of dance, song, and drumming",inscribed,LAC,2008,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,"Rumba in Cuba, a festive combination of music and dances and all the practices associated",inscribed,LAC,2016,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,Punto,inscribed,LAC,2017,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,Festivity of Las Parrandas in the centre of Cuba,inscribed,LAC,2018,
Croatia / Cyprus / Greece / Italy / Morocco / Portugal / Spain,Knowledge of the light rum masters,inscribed,LAC,2022,
Cuba / Mexico,"Bolero: identity, emotion and poetry turned into song",inscribed,LAC,2023,
Cuba / Mexico,Lefkara laces or Lefkaritika,inscribed,ENA,2009,
Cuba / Mexico,Tsiattista poetic duelling,inscribed,ENA,2011,
Czech Republic / Finland / France / Germany / Hungary / Spain,"Knowledge, craft and skills of handmade glass production",inscribed,ENA,2023,
Czech Republic / Slovakia,Puppetry in Slovakia and Czechia,inscribed,ENA,2016,
Denmark / Finland / Iceland / Norway / Sweden,Nordic clinker boat traditions,inscribed,ENA,2021,
Denmark / Finland / Iceland / Norway / Sweden,Cultural Space of the Brotherhood of the Holy Spirit of the Congos of Villa Mella,proclaimed,LAC,2001,
Denmark / Finland / Iceland / Norway / Sweden,Cultural Space of the Brotherhood of the Holy Spirit of the Congos of Villa Mella,inscribed,LAC,2008,
Denmark / Finland / Iceland / Norway / Sweden,Cocolo Dance Drama Tradition,proclaimed,LAC,2005,
Denmark / Finland / Iceland / Norway / Sweden,Cocolo Dance Drama Tradition,inscribed,LAC,2008,
Denmark / Finland / Iceland / Norway / Sweden,Music and dance of the merengue,inscribed,LAC,2016,
Denmark / Finland / Iceland / Norway / Sweden,Music and dance of Bachata,inscribed,LAC,2019,
Denmark / Finland / Iceland / Norway / Sweden,Traditional weaving of the Ecuadorian toquilla straw hat,inscribed,LAC,2012,
Denmark / Finland / Iceland / Norway / Sweden,"Pasillo, song and poetry",inscribed,LAC,2021,
France / Italy,The art of glass beads,inscribed,ENA,2020,
France / Italy /  / Switzerland,Alpinism,inscribed,ENA,2019,
France /  / Switzerland,Craftsmanship of mechanical watchmaking and art mechanics,inscribed,ENA,2020,
Indonesia / Malaysia,Pantun,inscribed,APA,2020,
Indonesia / Malaysia,Radif of Iranian music,inscribed,APA,2009,
Indonesia / Malaysia,Traditional skills of carpet weaving in Kashan,inscribed,APA,2010,
Indonesia / Malaysia,Traditional skills of carpet weaving in Fars,inscribed,APA,2010,
Indonesia / Malaysia,Ritual dramatic art of Ta'zīye,inscribed,APA,2010,
Indonesia / Malaysia,Pahlevani and Zoorkhanei rituals,inscribed,APA,2010,
Indonesia / Malaysia,Music of the Bakhshis of Khorasan,inscribed,APA,2010,
Indonesia / Malaysia,Qālišuyān rituals of Mašhad-e Ardehāl in Kāšān,inscribed,APA,2012,
Indonesia / Malaysia,"Chogān, a horse-riding game accompanied by music and storytelling",inscribed,APA,2017,
Indonesia / Malaysia,Traditional skills of crafting and playing Dotār,inscribed,APA,2019,
Iran / Syria,Crafting and playing the Oud,inscribed,"APA, ARB",2022,
Iran / Tajikistan,Sadeh/Sada celebration,inscribed,APA,2023,
Iran / Tajikistan,The Iraqi Maqam,proclaimed,AST,2003,
Iran / Tajikistan,The Iraqi Maqam,inscribed,AST,2008,
Iran / Tajikistan,Provision of services and hospitality during the Arba'een visitation,inscribed,AST,2019,
Iran / Tajikistan,Traditional craft skills and arts of Al-Naoor,inscribed,AST,2021,
Iran / Tajikistan,Traditional craft skills and arts of Al-Mudhif building,inscribed,AST,2023,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Arts, skills and practices associated with engraving on metals (gold, silver and copper)",inscribed,"AST, ARB",2023,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Uilleann piping,inscribed,ENA,2017,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Camogie,inscribed,ENA,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Hurling,inscribed,ENA,2018,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Irish harping,inscribed,ENA,2019,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Opera dei Pupi, Sicilian Puppet Theatre",proclaimed,ENA,2001,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Opera dei Pupi, Sicilian Puppet Theatre",inscribed,ENA,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Canto a tenore, Sardinian Pastoral Songs",proclaimed,ENA,2005,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,"Canto a tenore, Sardinian Pastoral Songs",inscribed,ENA,2008,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Traditional violin craftsmanship in Cremona,inscribed,ENA,2012,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Celebrations of big shoulder-borne processional structures,inscribed,ENA,2013,
Iraq / Algeria / Egypt / Mauritania / Morocco / Palestine / Saudi Arabia / Sudan / Tunisia / Yemen,Traditional agricultural practice of cultivating the vite ad alberello (head-trained bush vines) of the community of Pantelleria,inscribed,ENA,2014,
